FID,ZID,REC_NO,REC_TYPE,DEP_NUM,REP_DATE,INFO_SRC,FIL_LINK,REP,REP_AFF,SYN,DIST,COUNTY,STATE,COUNTRY,PHYS,DRAIN,LAND_ST,QUAD1,Q1_SCALE,QUAD2,Q2_SCALE,ELEV,UTM_N,UTM_E,UTM_Z,ACC,TOWNSHIP,RANGE,SECTION,SECT_FRACT,MERIDIAN,POSITION,LOCATION,SITE_NAME,LAT,LONG,COMMOD,ORE_MAT,COM_SUB,GEN_ANAL,COM_INFO,MAJOR,MINOR,POTEN,OCCUR,NP_MAIN,NP_MINOR,PROD,LOCAL_STRU,STATUS,DISC,YR_DISC,NAT_DISC,YR_1ST_PRO,YR_LAST_PR,OWNER,OPER,EXPL_COM,DEP_TYPE,DEP_FORM,DEPTH_TOP,DEP_T_U,DEPTH_BOT,DEP_B_U,MAX_LEN,M_L_U,MAX_WID,M_W_U,MAX_THICK,M_T_U,DEP_SIZE,STRIKE,DIP,PLUNGE_DIR,PLUNGE,DEP_DESC_C,DEPTH_WK,D_WK_U,LEN_WK,L_WK_U,OV_LEN_WK,O_L_U,OV_WID_WK,O_W_U,OV_AREA_WK,O_A_U,DESC_WORK_,HR_AGE,HR_TYPE,IG_AGE,IG_TYPE,MIN_AGE,NON_ORE_MI,ORE_CNTL,TECT_SET,REG_STRUCT,ALTER_,CONC,FORM_AGE,FORM_NAME,FORM2_AGE,FORM2_NAME,IG_UNIT_AG,IG_UNIT_NA,IG2_UNIT_A,IG2_UNIT_N,GEOL_COM,GEN_COM,RF1,RF2,RF3,RF4,DESC_WORK,AP_ITEM,AP_ACC,AP_AMT,AP_U,AP_YEAR,AP_GRADE,CP_ITEM,CP_ACC,CP_AMT,CP_U,CP_YEAR,CP_GRADE,P_SOURCE,P_COM,RPR_ITEM,RPR_ACC,RPR_AMT,RPR_U,RPR_YEAR,RPR_GRADE,RPR_SOURCE,RPR_COM,R_ITEM,R_ACC,R_AMT,R_U,R_YEAR,R_GRADE,R_SOURCE,R_COM,PR_ITEM,PR_ACC,PR_AMT,PR_U,PR_YEAR,PR_GRADE,PR_SOURCE,PR_COM,REF
919,10453,W027757,X1N,37 NATURAL BRIDGES 9,77 10, ,BLM,JONES; HAROLD H.,UGS, ,WHITE CANYON DISTRICT; DEER FLAT AREA,SAN JUAN,UT,US,11 INNER CANYONLANDS,14 COLORADO RIVER BASIN BELOW GREEN RIVER - SAN JUAN RIVER,49,NATURAL BRIDGES, ,ESCALANTE,250000,6700 FT,4167060,584340,12,UNKNOWN PR,036S,017E,21, ,SALT LAKE,2.3 MILES ESE FROM THE CHEESEBOX.,SECTION SUBDIVISION: NW 1/4 ; NW 1/4 ; NE 1/4 ; SEC. 21,UNKNOWN,37-38-55N,110-02-38W,U CU,MINERALS ARE APHANITIC., , , ,U CU, , , , , ,M, ,6, , ,B, , , , ,EXTENTIVE DRILL ENE OF ADIT RESULTS UNKNOWN - AIR VENT HOLE PRESENT., , , , , , , , , , , , , ,N 30 DEG W,2 DEG SW, , , , , , , , , , , , , ,ADIT IN MUD STONE CAVING - WATER DAMED; WORKINGS INACCESSIBLE. DESCRIPTION OF WORKINGS UNKNOWN,TRI,SANDSTONE; MUDSTONE, , , , , , ,STABLE PLATFORM, , ,TRI,CHINLE FORMATION; SHINARUMP MEMBER, , , , , , , , ,THADEN; R. E.; TRITES; A. F.; AND FINNELL; T. L.; 1964 ; GEOLOGY AND ORE DEPOSITS OF THE WHITE CANYON AREA; SAN JUAN AND GARFIELD COS.; UTAH; U.S.G.S. BULL 1125,FINNELL; T. L.; FRANKS; P. C.; AND HUBBARD; H. A.; 1963 ; GEOLOGY; ORE DEPOSITS AND EXPLORATORY DRILLING IN THE DEER FLAT AREA; WHITE CANYON DIST.; SAN JUAN CO.; UTAH; U.S.G.S. BULL. 1132 ., , ,U, , , , , , , , , , , , ,UGMS. STUDY; 1973, , , , , , , ,JONES; HAROLD; 1977,RESERVE INFORMATION UNKNOWN DUE TO INACCESSABILITY, , , , , , , , , , , , , , , , ,0
920,10390,W027669,X1N,37-MANCOS MESA-7,77 10, ,BLM - U.S.,TRIMBLE; LARRY M.,UGS,B AND I; SCENIC GROUP,WHITE CANYON AREA,SAN JUAN,UT,US,11 INNER CANYONLANDS,14 COLORADO RIVER BASIN BELOW GREEN RIVER - SAN JUAN RIVER,49,MANCOS MESA, ,ESCALANTE,250000,5900 FT,4177550,563000,12,UNKNOWN PR,035S,015E,08, ,SALT LAKE,8.9 MILES EAST OF CASTLE BUTTE,SECTION SUBDIVISION: SE 1/4; SE 1/4; SE 1/4; SEC 8 UNSURVEYED,URACOP - SUNRISE,37-44-42N,110-17-06W,U CU,URANINITE; URANOPHANE; AZURITE; MALACHITE; CHALCOCITE;, , , ,U, , ,CU, , ,L, ,6, , ,B, , ,ROBERT HOLDEN; WARREN BRONSON, , ,DISSEMINATED; REPLACEMENT,TABULAR,15,FT,100,FT,300,FT,200,FT,6.00,FT,LARGE, , , , , ,100,FT,2400,FT, , , , , , , ,TRI,SANDSTONE; CONGLOMERATE; MUDSTONE, , , , ,CHANNEL FILL; CARBONIZED PLANT REMAINS,STABLE PLATFORM, ,BLEACHING IN MUDSTONE, ,TRI,CHINLE FORMATION; SHINARUMP MEMBER, , , , , , , , ,THADEN; R. E.; TRITES; A. F.; AND FINNELL T. L.; 1964 ; GEOLOGY AND ORE DEPOSITS OF THE WHITE CANYON AREA; SAN JUAN AND GARFIELD CO'S.; UTAH; USGS BULL 1125, , , ,U, , , , , , ,U EST, ,102.000,LB,TO 1973,U3O8,UGMS INVESTIGATION 1973, ,ORE U,LGE, , ,1977,.05 - .10 % U3O8,TRIMBLE L. M.; 1977., , , , , , , , , , , , , , , , , ,0
921,9988,DB00045,X1N,37-HATCH ROCK-15,78 01, ,BLM,JONES; HAROLD H.,UGS, ,DRY VALLEY AREA,SAN JUAN,UT,US,11 HATCH SYNCLINE,14 COLORADO R. BASIN BETWEEN GUNNISON AND GREEN RIVERS,49,HATCH ROCK,62500, ,0,6420 FT,4214850,652000,12, ,032S,024E,22, ,SALT LAKE,4.2 MILES EAST FROM CHURCH ROCK,SECTION SUBDIVISION: SE 1/4 SE 1/4 SEC 22,BONANZA GROUP EAST MINE,38-04-14N,109-16-02W,U V,CARNOTITE; BLACK VANADIUM MINERALS, , , ,U, ,V, , , ,S, ,4, , ,B, , , , , , , ,4,FT,18,FT, , , , ,8.00,IN,SMALL, , , , , ,18,FT,200,FT,40,FT,20,FT,800,SQ FT, ,JUR,SANDSTONE; MUDSTONE, , , ,LIMONITE, ,STABLE PLATFORM, , , ,JUR,MORRISON FORMATION; SALT WASH MEMBER, , , , , , , , , , , , ,B, , , , , , , , , , , , , , ,ORE U,SML, , , ,0.10 % U3O8,JONES; H. 1978, , , , , , , , , , , , , , , , , ,0
922,10039,DB00096,X1N,37-LISBON VALLEY-36,78 01, ,BLM,TRIMBLE; LARRY M.,UGS, ,DRY VALLEY AREA,SAN JUAN,UT,US,11 LISBON PRONG SALT ANTICLINE,14 COLORADO RIVER BASIN BETWEEN THE GUNNISON AND GREEN RIVERS,49,LISBON VALLEY,62500, ,0,6400 FT,4214920,655800,12, ,031S,025E,19, ,SALT LAKE,6 MILES SOUTH OF BIG INDIAN ROCK,SECTION SUBDIVISION: SW 1/4 SW 1/4 SW 1/4 SEC. 19 .,BLACK BOTTOM MINE.,38-04-14N,109-13-26W,U V, , , , ,U V, , , , , ,M, ,4, , ,B, , , , , ,BEDDED; REPLACEMENT; DISSEMINATED,LENS,15,FT,30,FT,25,FT,12,FT,3.00,FT,SMALL,N 60 DEG E,2 DEG NW, , , ,30,FT,320,FT, , , , , , ,3 ADITS,JUR,SANDSTONE, , , , ,PALEOCHANNEL,STABLE PLATFORM, , , ,JUR,SALT WASH MEMBER OF MORRISON FM, , , , , , , , ,DIX; G. P. (JR.); 1954 ; THE URANIUM DEPOSITS OF BIG INDIAN WASH; SAN JUAN CO.; UTAH; USAEC RME 4022 (REV.),ISACHSEN; Y. W.; 1954 ; ORE DEPOSITS OF THE BIG INDIAN WASH AREA; GUIDEBOOK TO THE GEOLOGY OF UTAH; NO. 9 ; UGA.,WOOD; H. B.; 1967 ; GEOLOGY AND EXPLOITATION OF URANIUM DEPOSITS IN THE LISBON VALLEY AREA; UTAH; IN ORE DEPOSITS OF THE U.S.; GRATON-SALES; NEW YORK; AIME, ,U, , , , , , ,U ACC, ,2.44400,LB,TO 1973, ,UGMS STUDY - 1973, ,ORE U,SML, , ,1978,.05 - .10 % U3O8,TRIMBLE; L. M.; 1978, , , , , , , , , , , , , , , , , ,0
923,9985,DB00042,X1N,37-HATCH ROCK-11,78 01, ,BLM,JONES; HAROLD H.,UGS, ,DRY VALLEY AREA,SAN JUAN,UT,US,11 INNER CANYONLANDS,14 COLORADO R. BASIN BETWEEN GUNNISON AND GREEN RIVERS,49,HATCH ROCK,62500, ,0,6440 FT,4210250,646200,12, ,032S,024E,06, ,SALT LAKE,3.1 MILES SOUTH FROM CHURCH ROCK,SECTION SUBDIVISION: NW 1/4 SEC 6,LOYA RAY,38-01-48N,109-20-03W,U V, , , , ,U V, , , , , ,M, ,4, , ,B, , ,VANADIUM CORP. OF AMERICA,BIRCH MINING 1965 MOONLIGHT 76 - 77, ,BEDDED; REPLACEMENT, ,12,FT,10,FT, , , , ,1.00,FT,MEDIUM, , , , , , , , , ,100,FT,80,FT,4200,SQ FT,MINED BY UNDERGROUND AND OPEN TRENCH UNDER GROUND WORKINGS FILLED WITH MUD.,JUR,SANDSTONE; MUDSTONE, , , , ,PALEOCHANNEL,STABLE PLATFORM, , ,PRECIPITATION IN A REDUCING ENVIRONMENT,JUR,SALT WASH MEMBER OF MORRISON FORMATION, , , , , , , , , , , , ,B, , , , , , , , , , , , , , ,ORE U,SML, , ,1978,.1 % U3O8,JONES; H.; 1978, , , , , , , , , , , , , , , , , ,0
924,10036,DB00093,X1N,37-LISBON VALLEY-32,78 01, ,BLM,TRIMBLE; LARRY M.,UGS,GIANT,LISBON VALLEY AREA,SAN JUAN,UT,US,11 LISBON PRONG SALT ANTICLINE,14 COLORADO RIVER BASIN BETWEEN THE GUNNISON AND GREEN RIVERS,49,LISBON VALLEY,62500, ,0,6380 FT,4226140,654110,12, ,030S,025E,13, ,SALT LAKE,1 MILE NORTH OF BIG INDIAN ROCK,SECTION SUBDIVISION: SW 1/4 SE 1/4 SW 1/4 SEC. 13,SPILLER CANYON MINE,38-10-19N,109-14-27W,U V,CARNOTITE; URANYL SULPHATES, ,3 FOOT CHIP SAMPLE; .142 % U3O8 ; .045 % V2O5, ,U V, , , , , ,M, ,4, , ,B, , ,MAT BIRCH, ,DISCOVERED BY DRILLING,BEDDED; DISSEMINATED,TABULAR,15,FT,30,FT,100,FT,50,FT,8.00,FT,MEDIUM,N 40 DEG W,12 DEG SW, , , , , ,90+,FT, , , , , , ,DEPTH BELOW SURFACE UNKNOWN SINCE LOWER PARTS OF MINE ARE FLOODED. TOTAL LENGTH OF WORKINGS ALSO UNKNOWN,PERM,SANDSTONE, , , , , ,STABLE PLATFORM, , , ,PERM,CUTLER FORMATION, , , , , , , , ,DIX; G. P. (JR.); 1954 ; THE URANIUM DEPOSITS OF BIG INDIAN WASH; SAN JUAN CO.; UTAH; USAEC RME 4022 (REV.),ISACHSEN; Y. W.; 1954 ; ORE DEPOSITS OF THE BIG INDIAN WASH AREA; GUIDEBOOK TO THE GEOLOGY OF UTAH; NO. 9 ; UGA.,WOOD; H. B.; 1967 ; GEOLOGY AND EXPLOITATION OF URANIUM DEPOSITS IN THE LISBON VALLEY AREA; UTAH; IN ORE DEPOSITS OF THE U.S.; GRATON-SALES; NEW YORK; AIME, ,U, , , , , , ,U ACC, ,3.20300,LB,TO 1973, ,UGMS STUDY - 1973, ,ORE U,SML, , ,1978,.10 - .15 % U3O8,TRIMBLE; L. M.; 1978, , , , , , , , , , , , , , , , , ,0
925,10347,W027468,X1N,37 - BEARS EARS - 3,77 10, ,BLM - USGS,TRIMBLE; LARRY M.,UGS, ,ELK RIDGE AREA,SAN JUAN,UT,US,11 INNER CANYONLANDS,14 COLORADO RIVER BASIN BELOW GREEN RIVER - SAN JUAN RIVER,41,BEARS EARS, ,BEARS EARS,62500,8320 FT,4169450,600830,12,UNKNOWN PR,036S,019E,07, ,SALT LAKE,1.7 MILES SOUTHWEST OF KIGALIA RANGER STA.,SECTION SUBDIVISIONS: NE 1/4 NE 1/4 NE 1/4 SEC. 07,PEAVINE QUEEN MINE,37-40-07N,109-51-24W,U V CU,URANINITE; ASPHALTITE, , , ,U, , ,V CU, , ,S, ,6,HOWARD KIMMERLE,1953,B,1961, ,HOWARD KIMMERLE,HOWARD KIMMERLE, ,BEDDED; DISSEMINATED; REPLACEMENT,LENS,20,FT,60,FT,20,FT,10,FT,2.00,FT,SMALL,N 5 DEG W,1 DEG W, , , ,60,FT,325,FT, , , , , , , ,TRI,SANDSTONE; MUDSTONE, , , , ,PALEOCHANNEL; CARBONACEOUS MATERIAL,STABLE PLATFORM, , , ,TRI,SHINARUMP MEMBER OF CHINLE FM., , , , , , , , , , , , ,U,U ACC ýU ACC ý ý ý ý ý ýCON U ýCON U,ý ý ý ý ý ý ýACCýACC,0.03537ý 0.03000ý ý ý ý ý ý 0.10389ý 0.28808,ST ýST ý ý ý ý ý ýST ýST,1955ý1961ý ý ý ý ý ý1955ý1961,11.88 ST OF .08 % ; 23.49 TONS .18 U3O8 ý30.01 ST .48 % U3O8, , , , , , ,USAEC PRODUCTION RECORDS., ,ORE U,SML, , ,1977,.05 % U3O8,TRIMBLE; L. M.; 1977, , , , , , , , , , , , , , , , , ,0
926,10195,W027058,X1N,37 - BLANDING - 10,77 07, ,BLM,TRIMBLE; LARRY M.,UGS, ,MONTEZUMA CANYON AREA,SAN JUAN,UT,US,11 BLANDING BASIN,14 SAN JUAN RIVER BASIN,49,BLADING, ,BLANDING,62500,5400 FT,4161200,651100,12,UNKNOWN PR,037S,024E,09, ,SALT LAKE,4.9 MILES SOUTHEAST OF DEVIL MESA,SECTION SUBDIVISION: NW 1/4 SE 1/4 NW 1/4 SEC. 9,LUCKY STRIKE,37-35-14N,109-17-19W,U V,CARNOTITE; ROSCOELITE, , , ,U V, , , , , ,S, ,6, , ,B, , , , , ,BEDDED; DISSEMINATED,ROLL,15,FT,40,FT,25,FT,15,FT,3.00,FT,SMALL,N 70 DEG E,2 DEG NW, , , ,40,FT,120,FT, , , , , , , ,JUR,SANDSTONE, , , , , , , ,BLEACHING IN SANDSTONE,PRECIPITATION IN REDUCING ENVIRONMENT,JUR,SALT WASH MEMBER OF MORRISON FM., , , , , , , , ,HUFF; L. C.; AND LESURE; F. G.; 1965; GEOLOGY AND URANIUM DEPOSITS OF MONTEZUMA CANYON AREA; SAN JUAN COUNTY; UTAH; U.S.G.S. BULLETIN 1190., , , ,U, , , , , , , , , , , , , , ,ORE U,SML, , ,1977, ,TRIMBLE; L. M.; 1977, , , , , , , , , , , , , , , , , ,0
927,10198,W027061,X1N,37 - BLANDING - 13,77 08, ,BLM,TRIMBLE; LARRY M.,UGS, ,MONTEZUMA CANYON AREA,SAN JUAN,UT,US,11 BLANDING BASIN,14 SAN JUAN RIVER BASIN,49,BLANDING, ,BLANDING,62500,5320 FT,4160900,651300,12,UNKNOWN PR,037S,024E,09, ,SALT LAKE,5.1 MILES SOUTHEAST OF DEVIL MESA,SECTION SUBDIVISION: NE 1/4 NE 1/4 NW 1/4 SEC. 9,UNKNOWN,37-35-04N,109-17-11W,U V,CARNOTITE, , , ,U V, , , , , ,M, ,6, , ,B, , , , , ,BEDDED; DISSEMINATED,ROLL,100,FT,200,FT,80,FT,40,FT,6.00,FT,MEDIUM,N 70 DEG E,2 DEG NW, , , ,250,FT,548 +,FT, , , , , , ,TOTAL EXTENT OF WORKINGS NOT KNOWN DUE TO FLOODING,JUR,SANDSTONE, , , , ,PALEOCHANNELS; CARBONACEOUS MATERIAL,STABLE PLATFORM, , ,PRECIPITATION IN REDUCING ENVIRONMENT,JUR,SALT WASH MEMBER OF MORRISON FM., , , , , , , , ,HUFF; L. C.; AND LESURE; F. G.; 1965; GEOLOGY AND URANIUM DEPOSITS OF MONTEZUMA CANYON AREA; SAN JUAN COUNTY; UTAH; U.S.G.S. BULLETIN 1190., , , ,U, , , , , , , , , , , , , , ,ORE U,MED, , ,1977, ,TRIMBLE; L. M.; 1977, , , , , , , , , , , , , , , , , ,0
928,10202,W027065,X1N,37 - BLANDING - 17,77 07, ,BLM,TRIMBLE; LARRY M.,UGS,LOST INDIAN #1; TEASE #1,MONTEZUMA CANYON,SAN JUAN,UT,US,11 BLANDING BASIN,14 SAN JUAN RIVER BASIN,49,BLANDING, ,BLANDING,62500,5400 FT,4163900,652700,12,UNKNOWN PR,036S,024E,34, ,SALT LAKE,4.1 MILES SOUTHEAST OF DEVIL MESA,SECTION SUBDIVISION: SW 1/4 NE 1/4 SW 1/4 SEC. 34,LOST INDIAN,37-36-41N,109-16-12W,U V,CARNOTITE; ROSCELITE, , , ,U V, , , , , ,S, ,6, , ,B, , , , , ,BEDDED,LENS,15,FT,25,FT,15,FT,10,FT,2.00,FT,SML,N 30 DEG E,1 1/2 DEG, , , ,25,FT,50,FT, , , , , , , ,JUR,SANDSTONE; MUDSTONE, , , , ,PALEOCHANNELS; CARBONACEOUS MATERIAL,STABLE PLATFORM, , ,PRECIPITATION IN REDUCING ENVIRONMENT,JUR,SALT WASH MEMBER; MORRISON FM., , , , , , , , ,HUFF; L. C.; AND LESURE; F. G.; 1965; GEOLOGY AND URANIUM DEPOSITS OF MONTEZUMA CANYON AREA; SAN JUAN COUNTY; UTAH; U.S.G.S. BULLETIN 1190., , , ,U, , , , , , ,U ACC, ,0.11700,LB,TO 1973, , , ,ORE U,SML, , ,1977, ,TRIMBLE; L. M.; 1977, , , , , , , , , , , , , , , , , ,0
929,10180,W027042,X1N,37 - BLUFF - 6,77 07, ,BLM,TRIMBLE; LARRY M.,UGS,SPOTLIGHT,BUTLER WASH AREA,SAN JUAN,UT,US,11 BLANDING BASIN,14 SAN JUAN RIVER BASIN,49,BLUFF, ,BLUFF,62500,4640 FT,4141120,629880,12,UNKNOWN PR,039S,022E,07, ,SALT LAKE,1.1 MILES NORTH OF DECKER RANCH,SECTION SUBDIVISION: NE 1/4 NE 1/4 SE 1/4 SECTION,MAXINE #2 AND 3,37-24-35N,109-31-57W,U V,CARNOTITE; CORVUSITE, , , ,U V, , , , , ,M, ,6, , ,B, , ,ENERGY URANIUM, , ,BEDDED; REPLACEMENT,LENS,30,FT,30,FT,50,FT,20,FT,4.00,FT,SMALL, , , , , ,30,FT,175,FT, , , , , , , ,JUR,SANDSTONE, , , , ,PALEOCHANNELS; TREE REMAINS,STABLE PLATFORM, ,BLEACHING IN SANDSTONE,PRECIPITATION IN REDUCING ENVIRONMENT,JUR,SALT WASH MEMBER OF MORRISON FORMATION, , , , , , , , , , , , ,U, , , , , , ,U ACC, ,1.03300,LB,TO 1973, ,UGMS STUDY - 1973, ,ORE U,MED, , ,1977, ,TRIMBLE; L. M.; 1977, , , , , , , , , , , , , , , , , ,0
930,10318,W027439,X1N,37 - BRUSHY BASIN WASH - 8,77 08, ,BLM,TRIMBLE; LARRY M.,UGS, ,COTTONWOOD WASH AREA,SAN JUAN,UT,US,11 BLANDING BASIN,14 SAN JUAN RIVER BASIN,49,BRUSHY BASIN WASH, ,BRUSHY BASIN WASH,62500,5360 FT,4161500,624200,12,UNKNOWN PR,037S,021E,03, ,SALT LAKE,5.4 MILES NORTH OF BLACK MESA BUTTE,SECTION SUBDIVISIONS: NE 1/4 SE 1/4 SW 1/4 SEC. 3,UNKNOWN,37-35-39N,109-35-35W,U V,URANINITE; MONTROSEITE, , , ,U V, , , , , ,M, ,6, , ,B, , ,LOOK MINING CO., , ,BEDDED; REPLACEMENT; DISSEMINATED, ,50,FT,100,FT,100,FT,50,FT,5.00,FT,MEDIUM,N 35 DEG E,2 DEG SE, , , ,100,FT,500,FT, , , , , , , ,JUR,SANDSTONE, , , , ,PALEOCHANNEL; CARBONACEOUS MATERIAL, , , , ,JUR,SALT WASH MEMBER OF MORRISON FM., , , , , , , , ,DODD; P. H.; 1956 ; EXAMPLES OF URANIUM DEPOSITS IN THE UPPER JURASSIC MORRISON FORMATION OF THE COLORADO PLATEAU; USGS PP 300 ; P 243 - 262,PITMAN; R. K.; 1958 ; URANIUM - VANADIUM DEPOSITS OF THE COTTONWOOD WASH MINING AREA; SAN JUAN CO.; UTAH; USAEC RME 109,STOKES; W. L.; 1954 ; RELATION OF SEDIMENTARY TRENDS; TECTONIC FEATURES; AND ORE DEPOSITS IN THE BLANDING DIST.; SAN JUAN CO.; UTAH; USAEC RME 3093 ( PT. 1 ), ,U, , , , , , , , , , , , , , ,ORE U,MED, , ,1977,.10 % U3O8,TRIMBLE; L. M.; 1977, , , , , , , , , , , , , , , , , ,0
931,10320,W027441,X1N,37 - BRUSHY BASIN WASH - 10,77 08, ,BLM,TRIMBLE; LARRY M.,UGS, ,COTTONWOOD WASH AREA,SAN JUAN,UT,US,11 BLANDING BASIN,14 SAN JUAN RIVER BASIN,49,BRUSHY BASIN WASH, ,BRUSHY BASIN WASH,62500,5360 FT,4161800,623560,12,UNKNOWN PR,037S,021E,03, ,SALT LAKE,5.5 MILES NORTH OF BLACK MESA BUTTE,SECTION SUBDIVISION: SW 1/4 ; NW 1/4 ; SW 1/4 SEC 3,COTTONWOOD # 2,37-35-49N,109-36-01W,U V,URANINITE; CORVUSITE, ,.022 % U3O8 ; .10 % V2O5, ,U V, , , , , ,L, ,6, , ,B, , ,LOOK MINING CO., , ,BEDDED; REPLACEMENT; DISSEMINATED,IRREGULAR TABULAR,50,FT,70,FT,150,FT,90,FT,8.00,FT,LARGE,N 37 DEG E,3 DEG SE, , , ,70,FT,2400,FT, , , , , , , ,JUR,SANDSTONE, , , , ,PALEOCHANNEL; CARBONACEOUS MATERIAL,STABLE PLATFORM, , , ,JUR,SALT WASH MEMBER OF MORRISON FM., , , , , , , , ,DODD; P. H.; 1956 ; EXAMPLES OF URANIUM DEPOSITS IN THE UPPER JURASSIC MORRISON FORMATION OF THE COLORADO PLATEAU; USGS PP 300; P 243 - 262,PITMAN; R. K.; 1958 ; URANIUM - VANADIUM DEPOSITS OF THE COTTONWOOD WASH MINING AREA; SAN JUAN CO.; UTAH; USAEC RME 109,STOKES; W. L.; 1954 ; RELATION OF SEDIMENTARY TRENDS; TECTONIC FEATURES; AND ORE DEPOSITS IN THE BLANDING DIST.; SAN JUAN CO.; UTAH; USAEC RME 3093 ( PT. 1 ), ,U, , , , , , , , , , , , , , ,ORE U,MED, , ,1977,.10 % U3O8,TRIMBLE; L. M.; 1977, , , , , , , , , , , , , , , , , ,0
932,10332,W027453,X1N,37 - BRUSHY BASIN WASH - 22,77 09, ,BLM,TRIMBLE; LARRY M.,UGS, ,COTTONWOOD WASH AREA,SAN JUAN,UT,US,11 BLANDING BASIN,14 SAN JUAN RIVER BASIN,49,BRUSHY BASIN WASH, ,BRUSHY BASIN WASH,62500,5520 FT,4161800,622850,12,UNKNOWN PR,037S,021E,04, ,SALT LAKE,4.9 MILES NORTHEAST OF PERKINS RANCH,SECTION SUBDIVISIONS: SE 1/4 NW 1/4 SE 1/4 SEC. 4,VIEW,37-35-49N,109-36-30W,U V,CARNOTITE; CORVUSITE, ,4' CHIP SAMPLE; .006 % U3O8 ; .135 % V2O5 ; .007 % U3O8 ; .144 % V2O5, ,U V, , , , , ,L, ,6, , ,B, , , , , ,BEDDED; REPLACEMENT; DISSEMINATED,TABULAR,60,FT,70,FT,300,FT,150,FT,6.00,FT,LARGE,N 15 DEG W,4 DEG NE, , , ,70,FT,3060,FT, , , , , , , ,JUR,SANDSTONE; MUDSTONE, , , , ,PALEOCHANNEL; CARBONACEOUS MATERIAL,STABLE PLATFORM, , , ,JUR,SALT WASH MEMBER OF MORRISON FM., , , , , , , , ,DODD; P. H.; 1956 ; EXAMPLES OF URANIUM DEPOSITS IN THE UPPER JURASSIC MORRISON FORMATION OF THE COLORADO PLATEAU; U. S. G. S.; PP 300 ; P. 243 - 262,PITMAN; R. K.; 1958 ; URANIUM - VANADIUM DEPOSITS OF THE COTTONWOOD WASH MINING AREA; SAN JUAN CO.; UTAH; USAEC RME - 109,STOKES; W. L.; 1954 ; RELATION OF SEDIMENTARY TRENDS; TECTONIC FEATURES; AND ORE DEPOSITS IN THE BLANDING DIST.; SAN JUAN CO.; UTAH; USAEC RME 3093 ( PT. 1 ),LEWIS; R. Q.; CAMPBELL; R. H.; 1965 ; GEOLOGY AND URANIUM DEPOSITS OF ELK RIDGE AND VICINITY; SAN JUAN CO.; UTAH; USGS PP 474 - B.,U, , , , , , ,U ACC, ,0.08800,LB, ,U3O8,UGMS STUDY - 1973, ,ORE U,MED, , ,1977,.10 % U3O8,TRIMBLE; L. M.; 1977, , , , , , , , , , , , , , , , , ,0
933,10335,W027456,X1N,37 - BRUSHY BASIN WASH - 25,77 09, ,BLM,TRIMBLE; LARRY M.,UGS, ,COTTONWOOD WASH AREA,SAN JUAN,UT,US,11 BLANDING BASIN,14 SAN JUAN RIVER BASIN,49,BRUSHY BASIN WASH, ,BRUSHY BASIN WASH,62500,5600 FT,4161600,622350,12,UNKNOWN PR,037S,021E,04, ,SALT LAKE,4.6 MILES NORTHEAST OF PERKINS RANCH,SECTION SUBDIVISIONS: NW 1/4 SE 1/4 SW 1/4 SEC. 4,UNKNOWN,37-35-43N,109-36-51W,U V,CARNOTITE, ,2 ' CHIP SAMPLE - .007 % U3O8 ; .726 % V2O5 ; .006 % U3O8 ; .796 % V2O5, ,U V, , , , , ,S, ,6, , ,B, , , , , ,BEDDED; REPLACEMENT; DISSEMINATED,LENS POD,10,FT,15,FT,40,FT,20,FT,2.00,FT,SMALL,N 15 DEG W,4 DEG NE, , , ,15,FT,550,FT, , , , , , ,8 ADITS,JUR,SANDSTONE; MUDSTONE, , , , ,PALEOCHANNELS; CARBONACEOUS MATERIAL,STABLE PLATFORM, ,BLEACHING IN MUDSTONE, ,JUR,SALT WASH MEMBER OF MORRISON FM., , , , , , , , ,DODD; P. H.; 1956 ; EXAMPLES OF URANIUM DEPOSITS IN THE UPPER JURASSIC MORRISON FORMATION OF THE COLORADO PLATEAU; U. S. G. S.; PP 300 ; P. 243 - 262,PITMAN; R. K.; 1958 ; URANIUM - VANADIUM DEPOSITS OF THE COTTONWOOD WASH MINING AREA; SAN JUAN CO.; UTAH; USAEC RME - 109,STOKES; W. L.; 1954 ; RELATION OF SEDIMENTARY TRENDS; TECTONIC FEATURES; AND ORE DEPOSITS IN THE BLANDING DIST.; SAN JUAN CO.; UTAH; USAEC RME 3093 ( PT. 1 ),LEWIS; R. Q.; CAMPBELL; R. H.; 1965 ; GEOLOGY AND URANIUM DEPOSITS OF ELK RIDGE AND VICINITY; SAN JUAN CO.; UTAH; USGS PP 474 - B.,U, , , , , , , , , , , , , , ,ORE U,SML, , ,1977,.05 % U3O8,TRIMBLE; L. M.; 1977, , , , , , , , , , , , , , , , , ,0
